keyword,foods
cold drink,"Milkshake, Smoothie, Iced Coffee, Lemonade"
hot drink,"Hot Chocolate, Tea, Coffee, Cappuccino"
hot day,"Milkshake, Smoothie, Iced Coffee, Lemonade, Ice Cream"
cold day,"Soup, Hot Chocolate, Mac and Cheese, Porridge"
vegan,"Chickpea Salad, Lentil Soup, Tofu Bowl, Vegan Burger"
asian,"Fried Rice, Noodles, Dumplings, Sushi"
meat,"Chicken Curry, Beef Burger, Pork Ribs, Steak"
snack,"Chips, Popcorn, Sandwich, Nachos"
dessert,"Ice Cream, Brownie, Cheesecake, Pudding"
breakfast,"Pancakes, Omelette, Toast, Smoothie Bowl"
lunch,"Rice and Curry, Burger, Sandwich, Pasta"
dinner,"Pizza, Steak, Noodles, Curry"
healthy,"Salad, Smoothie Bowl, Grilled Fish, Quinoa"
spicy,"Spicy Curry, Hot Wings, Chili Noodles, Spicy Ramen"
sweet,"Ice Cream, Donut, Cake, Milkshake"
salty,"French Fries, Pretzels, Salted Nuts, Chips"
seafood,"Shrimp Scampi, Fish and Chips, Lobster Roll, Oysters"
italian,"Spaghetti Bolognese, Lasagna, Risotto, Tiramisu"
mexican,"Tacos al Pastor, Enchiladas, Guacamole, Churros"
french,"Croissant, French Onion Soup, Crème brûlée, Macarons"
japanese,"Sushi, Ramen, Tempura, Sashimi"
chinese,"Fried Rice, Kung Pao Chicken, Dumplings, Peking Duck"
korean,"Kimchi, Bibimbap, Korean BBQ, Tteokbokki"
thai,"Pad Thai, Tom Yum Soup, Green Curry, Mango Sticky Rice"
vietnamese,"Pho, Banh Mi, Spring Rolls, Vietnamese Iced Coffee"
greek,"Gyros, Souvlaki, Moussaka, Baklava"
middle eastern,"Hummus, Falafel, Shawarma, Kebab"
bbq,"BBQ Ribs, Pulled Pork, Brisket, Coleslaw"
comfort food,"Mac and Cheese, Grilled Cheese Sandwich, Tomato Soup, Mashed Potatoes"
street food,"Taco, Hot Dog, Pretzels, Crepes"
